"","Pedigree.Unified","P1.IG","P1.Specie","P1.Type","P2.IG","P2.Specie","P2.Type","P3.IG","P3.Specie","P3.Type"
"b3823a25ebd1","Pedigree.Unified.105",NA,"","",NA,"","",NA,"",""
"42dbb161faab","Pedigree.Unified.105",NA,"","",NA,"","",NA,"",""
"eaf6d8a8299c","Pedigree.Unified.105",NA,"","",NA,"","",NA,"",""
"4e50f1f20148","Pedigree.Unified.105",NA,"","",NA,"","",NA,"",""
"86893d16d9f9","Pedigree.Unified.105",NA,"","",NA,"","",NA,"",""
"6d3bd505f11c","Pedigree.Unified.105",NA,"","",NA,"","",NA,"",""
"d2eaa819fdad","Pedigree.Unified.105",NA,"","",NA,"","",NA,"",""
"1c0c996ab4f9","Pedigree.Unified.105",NA,"","",NA,"","",NA,"",""
"e53f28f85f57","Pedigree.Unified.105",NA,"","",NA,"","",NA,"",""
"8b4ede3d4323","Pedigree.Unified.97",46311,"Triticum turgidum subsp. dicoccoides","Wild",140368,"Triticum turgidum subsp. durum","Cultivar",NA,"",""
"60c7f588f8c8","Pedigree.Unified.97",46311,"Triticum turgidum subsp. dicoccoides","Wild",140368,"Triticum turgidum subsp. durum","Cultivar",NA,"",""
"43b6b3996bf2","Pedigree.Unified.97",46311,"Triticum turgidum subsp. dicoccoides","Wild",140368,"Triticum turgidum subsp. durum","Cultivar",NA,"",""
"d3dac005c5bb","Pedigree.Unified.97",46311,"Triticum turgidum subsp. dicoccoides","Wild",140368,"Triticum turgidum subsp. durum","Cultivar",NA,"",""
"a5e037c9c3fe","Pedigree.Unified.73",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"4b3558c3cfd9","Pedigree.Unified.73",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"77c41fa57050","Pedigree.Unified.69",45673,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"095af5c4288a","Pedigree.Unified.72",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
"c5dc809385e6","Pedigree.Unified.72",84995,"Triticum turgidum subsp. turgidum","Landrace",NA,"","",NA,"",""
