"","Pedigree.Unified","P1.IG","P1.Specie","P1.Type","P2.IG","P2.Specie","P2.Type","P3.IG","P3.Specie","P3.Type"
"729400f0ceaa","Pedigree.Unified.62",NA,"","",NA,"","",NA,"",""
"217e3fe68830","Pedigree.Unified.24",95486,"Triticum turgidum subsp. durum","Unreleased breeder",46528,"Triticum turgidum subsp. dicoccoides","Wild",NA,"",""
"0b5b768763bf","Pedigree.Unified.24",95486,"Triticum turgidum subsp. durum","Unreleased breeder",46528,"Triticum turgidum subsp. dicoccoides","Wild",NA,"",""
"def47121d5d3","Pedigree.Unified.94",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"c50a90741b2d","Pedigree.Unified.94",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"3335fcf850fd","Pedigree.Unified.94",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"cea4fd105396","Pedigree.Unified.94",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"190f15e689da","Pedigree.Unified.94",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"956bf9a7c5ad","Pedigree.Unified.44",140431,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"d0626b47b6a9","Pedigree.Unified.38",129083,"Triticum aestivum subsp. aestivum","Advanced cultivar",NA,"","",NA,"",""
"250b65d5c5dd","Pedigree.Unified.38",129083,"Triticum aestivum subsp. aestivum","Advanced cultivar",NA,"","",NA,"",""
"81608893f7c4","Pedigree.Unified.38",129083,"Triticum aestivum subsp. aestivum","Advanced cultivar",NA,"","",NA,"",""
"d6ffb0ec75c3","Pedigree.Unified.40",92119,"Triticum turgidum subsp. durum","Unreleased breeder",117912,"Aegilops vavilovii","Wild",NA,"",""
"73a973c96d86","Pedigree.Unified.37",127714,"Triticum aestivum subsp. aestivum","Landrace",89908,"Triticum turgidum subsp. durum","Landrace",NA,"",""
"0cf247d24d54","Pedigree.Unified.93",42100,"Triticum aestivum subsp. aestivum","Landrace",NA,"","",NA,"",""
"6d87299babda","Pedigree.Unified.141",145493,"Triticum aestivum subsp. aestivum","Advanced cultivar",NA,"","",NA,"",""
"8a4c3004c32e","Pedigree.Unified.141",145493,"Triticum aestivum subsp. aestivum","Advanced cultivar",NA,"","",NA,"",""
"69c764eefae0","Pedigree.Unified.141",145493,"Triticum aestivum subsp. aestivum","Advanced cultivar",NA,"","",NA,"",""
"7e7171f3b8fe","Pedigree.Unified.141",145493,"Triticum aestivum subsp. aestivum","Advanced cultivar",NA,"","",NA,"",""
"7164b6bca420","Pedigree.Unified.141",145493,"Triticum aestivum subsp. aestivum","Advanced cultivar",NA,"","",NA,"",""
"2aae2e9f867a","Pedigree.Unified.141",145493,"Triticum aestivum subsp. aestivum","Advanced cultivar",NA,"","",NA,"",""
"97dc052a2596","Pedigree.Unified.141",145493,"Triticum aestivum subsp. aestivum","Advanced cultivar",NA,"","",NA,"",""
"21c6184af9d7","Pedigree.Unified.141",145493,"Triticum aestivum subsp. aestivum","Advanced cultivar",NA,"","",NA,"",""
"b5c85f3ad46e","Pedigree.Unified.141",145493,"Triticum aestivum subsp. aestivum","Advanced cultivar",NA,"","",NA,"",""
"45088104d82d","Pedigree.Unified.54",46905,"Aegilops tauschii","Wild",139696,"Triticum aestivum subsp. aestivum","Landrace",NA,"",""
"ba5dae0d36c2","Pedigree.Unified.54",46905,"Aegilops tauschii","Wild",139696,"Triticum aestivum subsp. aestivum","Landrace",NA,"",""
"c88b740b54a0","Pedigree.Unified.54",46905,"Aegilops tauschii","Wild",139696,"Triticum aestivum subsp. aestivum","Landrace",NA,"",""
"8e7aa1ec3980","Pedigree.Unified.120",NA,"","",NA,"","",NA,"",""
"1e1529ef5bda","Pedigree.Unified.120",NA,"","",NA,"","",NA,"",""
"6ce504a38dcb","Pedigree.Unified.120",NA,"","",NA,"","",NA,"",""
"bd2334435f53","Pedigree.Unified.121",NA,"","",NA,"","",NA,"",""
"433945ec0c8d","Pedigree.Unified.144",NA,"","",NA,"","",NA,"",""
"788476bf8a1d","Pedigree.Unified.144",NA,"","",NA,"","",NA,"",""
"83733b382934","Pedigree.Unified.144",NA,"","",NA,"","",NA,"",""
"0c5efaff10ef","Pedigree.Unified.139",NA,"","",NA,"","",NA,"",""
"8198a24bd98d","Pedigree.Unified.139",NA,"","",NA,"","",NA,"",""
"f14137a3522e","Pedigree.Unified.139",NA,"","",NA,"","",NA,"",""
"37c4fcd3c2c4","Pedigree.Unified.139",NA,"","",NA,"","",NA,"",""
"ae13c015d885","Pedigree.Unified.144",NA,"","",NA,"","",NA,"",""
"aa063eb0ffd4","Pedigree.Unified.139",NA,"","",NA,"","",NA,"",""
"243c796e1d4c","Pedigree.Unified.144",NA,"","",NA,"","",NA,"",""
"f4334e9252f9","Pedigree.Unified.144",NA,"","",NA,"","",NA,"",""
"821a8fec146b","Pedigree.Unified.144",NA,"","",NA,"","",NA,"",""
"315daf766490","Pedigree.Unified.144",NA,"","",NA,"","",NA,"",""
"df42c3ff04da","Pedigree.Unified.144",NA,"","",NA,"","",NA,"",""
"5f078b0ff691","Pedigree.Unified.144",NA,"","",NA,"","",NA,"",""
"7f47f307d22c","Pedigree.Unified.144",NA,"","",NA,"","",NA,"",""
"f72db134fa07","Pedigree.Unified.7",139592,"Triticum aestivum subsp. aestivum","Landrace",45045,"Triticum aestivum subsp. compactum","Landrace",NA,"",""
"1c3d094ac89e","Pedigree.Unified.2",108768,"Triticum turgidum subsp. durum","Landrace",140873,"Triticum aethiopicum","Landrace",NA,"",""
"91152bb8c150","Pedigree.Unified.2",108768,"Triticum turgidum subsp. durum","Landrace",140873,"Triticum aethiopicum","Landrace",NA,"",""
"b0406fd39f33","Pedigree.Unified.2",108768,"Triticum turgidum subsp. durum","Landrace",140873,"Triticum aethiopicum","Landrace",NA,"",""
"45d451c48916","Pedigree.Unified.2",108768,"Triticum turgidum subsp. durum","Landrace",140873,"Triticum aethiopicum","Landrace",NA,"",""
"1ba1fa812e47","Pedigree.Unified.3",108768,"Triticum turgidum subsp. durum","Landrace",84859,"Triticum turgidum subsp. durum","Landrace",NA,"",""
"1775787cbeb3","Pedigree.Unified.9",140368,"Triticum turgidum subsp. durum","Cultivar",98886,"Triticum turgidum subsp. durum","Unreleased breeder",NA,"",""
"86c5eeefff60","Pedigree.Unified.9",140368,"Triticum turgidum subsp. durum","Cultivar",98886,"Triticum turgidum subsp. durum","Unreleased breeder",NA,"",""
"25c9f82e1931","Pedigree.Unified.9",140368,"Triticum turgidum subsp. durum","Cultivar",98886,"Triticum turgidum subsp. durum","Unreleased breeder",NA,"",""
"d04ec3c08fe9","Pedigree.Unified.4",127714,"Triticum aestivum subsp. aestivum","Landrace",45137,"Triticum turgidum subsp. carthlicum","Landrace",NA,"",""
"4ced93e3129a","Pedigree.Unified.75",NA,"","",NA,"","",NA,"",""
"cb221076943f","Pedigree.Unified.75",NA,"","",NA,"","",NA,"",""
"740cf942daf8","Pedigree.Unified.75",NA,"","",NA,"","",NA,"",""
"cf3e924be7be","Pedigree.Unified.75",NA,"","",NA,"","",NA,"",""
"dfb964ab6129","Pedigree.Unified.14",91293,"Triticum turgidum subsp. durum","Unreleased breeder",46039,"Triticum turgidum subsp. dicoccoides","Wild",NA,"",""
"b98610f02774","Pedigree.Unified.14",91293,"Triticum turgidum subsp. durum","Unreleased breeder",46039,"Triticum turgidum subsp. dicoccoides","Wild",NA,"",""
"08f03d2927ea","Pedigree.Unified.14",91293,"Triticum turgidum subsp. durum","Unreleased breeder",46039,"Triticum turgidum subsp. dicoccoides","Wild",NA,"",""
"f4362a04df7e","Pedigree.Unified.14",91293,"Triticum turgidum subsp. durum","Unreleased breeder",46039,"Triticum turgidum subsp. dicoccoides","Wild",NA,"",""
"3b39b3e37f56","Pedigree.Unified.23",95486,"Triticum turgidum subsp. durum","Unreleased breeder",45380,"Triticum turgidum subsp. dicoccon","Landrace",NA,"",""
"cf26fe6fb25b","Pedigree.Unified.23",95486,"Triticum turgidum subsp. durum","Unreleased breeder",45380,"Triticum turgidum subsp. dicoccon","Landrace",NA,"",""
"9c15a1f19ed9","Pedigree.Unified.23",95486,"Triticum turgidum subsp. durum","Unreleased breeder",45380,"Triticum turgidum subsp. dicoccon","Landrace",NA,"",""
"3e33f22e86e8","Pedigree.Unified.23",95486,"Triticum turgidum subsp. durum","Unreleased breeder",45380,"Triticum turgidum subsp. dicoccon","Landrace",NA,"",""
"c79b4bff272e","Pedigree.Unified.23",95486,"Triticum turgidum subsp. durum","Unreleased breeder",45380,"Triticum turgidum subsp. dicoccon","Landrace",NA,"",""
"09496c53815e","Pedigree.Unified.23",95486,"Triticum turgidum subsp. durum","Unreleased breeder",45380,"Triticum turgidum subsp. dicoccon","Landrace",NA,"",""
"2bd22de972fc","Pedigree.Unified.23",95486,"Triticum turgidum subsp. durum","Unreleased breeder",45380,"Triticum turgidum subsp. dicoccon","Landrace",NA,"",""
"4f48ed9a885b","Pedigree.Unified.26",95784,"Triticum turgidum subsp. durum","",45380,"Triticum turgidum subsp. dicoccon","Landrace",NA,"",""
"602b6f6f92e3","Pedigree.Unified.26",95784,"Triticum turgidum subsp. durum","",45380,"Triticum turgidum subsp. dicoccon","Landrace",NA,"",""
"4711aaa2fc34","Pedigree.Unified.26",95784,"Triticum turgidum subsp. durum","",45380,"Triticum turgidum subsp. dicoccon","Landrace",NA,"",""
"a48588aeafb9","Pedigree.Unified.26",95784,"Triticum turgidum subsp. durum","",45380,"Triticum turgidum subsp. dicoccon","Landrace",NA,"",""
"2e82db0c8c63","Pedigree.Unified.26",95784,"Triticum turgidum subsp. durum","",45380,"Triticum turgidum subsp. dicoccon","Landrace",NA,"",""
"d0599c93f71e","Pedigree.Unified.28",97832,"Triticum turgidum subsp. durum","Cultivar",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"",""
"6c1b5a4ce49f","Pedigree.Unified.33",98898,"Triticum turgidum subsp. durum","Unreleased breeder",45415,"Triticum turgidum subsp. dicoccon","Landrace",NA,"",""
"bed84e1d5e90","Pedigree.Unified.32",98898,"Triticum turgidum subsp. durum","Unreleased breeder",45380,"Triticum turgidum subsp. dicoccon","Landrace",NA,"",""
"eb1e4523ab79","Pedigree.Unified.34",98898,"Triticum turgidum subsp. durum","Unreleased breeder",45450,"Triticum turgidum subsp. dicoccon","Landrace",NA,"",""
"41ee88d07744","Pedigree.Unified.34",98898,"Triticum turgidum subsp. durum","Unreleased breeder",45450,"Triticum turgidum subsp. dicoccon","Landrace",NA,"",""
"8c234e770c02","Pedigree.Unified.34",98898,"Triticum turgidum subsp. durum","Unreleased breeder",45450,"Triticum turgidum subsp. dicoccon","Landrace",NA,"",""
"8edd747e91f4","Pedigree.Unified.34",98898,"Triticum turgidum subsp. durum","Unreleased breeder",45450,"Triticum turgidum subsp. dicoccon","Landrace",NA,"",""
"d0834911d113","Pedigree.Unified.34",98898,"Triticum turgidum subsp. durum","Unreleased breeder",45450,"Triticum turgidum subsp. dicoccon","Landrace",NA,"",""
"d4de33981774","Pedigree.Unified.30",98804,"Triticum turgidum subsp. durum","",46311,"Triticum turgidum subsp. dicoccoides","Wild",NA,"",""
"bc5ccc74fd45","Pedigree.Unified.29",98804,"Triticum turgidum subsp. durum","",45380,"Triticum turgidum subsp. dicoccon","Landrace",NA,"",""
"ea0f0305524f","Pedigree.Unified.100",142006,"Triticum turgidum subsp. durum","Unreleased breeder",46297,"Triticum turgidum subsp. dicoccoides","Wild",NA,"",""
"5c16977ad0a0","Pedigree.Unified.101",142006,"Triticum turgidum subsp. durum","Unreleased breeder",NA,"","",NA,"",""
"f0c6c72cfa63","Pedigree.Unified.101",142006,"Triticum turgidum subsp. durum","Unreleased breeder",NA,"","",NA,"",""
"3f69f831b268","Pedigree.Unified.10",140411,"Triticum aestivum subsp. aestivum","Cultivar",44965,"Triticum aestivum subsp. compactum","Landrace",NA,"",""
"13e35c8f9d49","Pedigree.Unified.35",45334,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"57dfffa06a68","Pedigree.Unified.95",45380,"Triticum turgidum subsp. dicoccon","Landrace",NA,"","",NA,"",""
"488c77308c89","Pedigree.Unified.96",45673,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"4802e8d99e39","Pedigree.Unified.96",45673,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"cb4173e168ad","Pedigree.Unified.102",142006,"Triticum turgidum subsp. durum","Unreleased breeder",NA,"","",NA,"",""
"b6d3394cf7ef","Pedigree.Unified.45",45334,"Triticum turgidum subsp. dicoccon","Landrace",108768,"Triticum turgidum subsp. durum","Landrace",NA,"",""
"c99de3dbc8dd","Pedigree.Unified.45",45334,"Triticum turgidum subsp. dicoccon","Landrace",108768,"Triticum turgidum subsp. durum","Landrace",NA,"",""
"4d0d7828b53e","Pedigree.Unified.45",45334,"Triticum turgidum subsp. dicoccon","Landrace",108768,"Triticum turgidum subsp. durum","Landrace",NA,"",""
"45a10a8dde25","Pedigree.Unified.45",45334,"Triticum turgidum subsp. dicoccon","Landrace",108768,"Triticum turgidum subsp. durum","Landrace",NA,"",""
"a1f1b05cb24f","Pedigree.Unified.45",45334,"Triticum turgidum subsp. dicoccon","Landrace",108768,"Triticum turgidum subsp. durum","Landrace",NA,"",""
"1f9d59ccff8a","Pedigree.Unified.153",46044,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"d7023df6a023","Pedigree.Unified.147",46039,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"422ab970780f","Pedigree.Unified.147",46039,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"893ccefd0d27","Pedigree.Unified.147",46039,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"a95cd81250a4","Pedigree.Unified.147",46039,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"14ab375111f3","Pedigree.Unified.147",46039,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"66b7ed2f3e5d","Pedigree.Unified.147",46039,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"99f5def1b98d","Pedigree.Unified.147",46039,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"154b77ac03fb","Pedigree.Unified.147",46039,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"daed4748d6ce","Pedigree.Unified.147",46039,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"62813cb5a32d","Pedigree.Unified.147",46039,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"7879151cc846","Pedigree.Unified.147",46039,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"4fdfaa961f93","Pedigree.Unified.147",46039,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"93480d5662a6","Pedigree.Unified.147",46039,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"785cbbc3f910","Pedigree.Unified.153",46044,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"a7bb03e26593","Pedigree.Unified.153",46044,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"4a6723eee973","Pedigree.Unified.153",46044,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"42da281143d4","Pedigree.Unified.163",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"7156a9e4890f","Pedigree.Unified.163",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"5b9efb1077eb","Pedigree.Unified.163",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"44b664023052","Pedigree.Unified.162",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"1b437ef11e5b","Pedigree.Unified.162",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"a9c4fdac6c5f","Pedigree.Unified.162",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"61e4fda9007c","Pedigree.Unified.162",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"be84ff0e2c03","Pedigree.Unified.162",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"2c454ef6f5e6","Pedigree.Unified.162",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"d7550fdeaa5d","Pedigree.Unified.162",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"44ae5d766f34","Pedigree.Unified.162",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"747742cd97ce","Pedigree.Unified.162",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"d61ee84dd7d9","Pedigree.Unified.162",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"6476dbce9d68","Pedigree.Unified.162",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"141a212105fd","Pedigree.Unified.155",46044,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"653a7fdb77aa","Pedigree.Unified.155",46044,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"e788c77dacf7","Pedigree.Unified.96",45673,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"e64d7b1ac18b","Pedigree.Unified.158",46528,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"1638681ed544","Pedigree.Unified.158",46528,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"9c47758d8af0","Pedigree.Unified.163",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"79a6dc7efdfa","Pedigree.Unified.163",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"587e1f78b75f","Pedigree.Unified.163",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"cc99e58518f7","Pedigree.Unified.163",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"3b871fb29d67","Pedigree.Unified.163",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"72f6e295d5bf","Pedigree.Unified.163",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"2be13848094b","Pedigree.Unified.163",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"a041e01d91bf","Pedigree.Unified.161",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"f5233e093195","Pedigree.Unified.161",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"ab3a7ada5c46","Pedigree.Unified.161",46529,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"9d4b70640d89","Pedigree.Unified.154",46044,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"a57214b7f40f","Pedigree.Unified.154",46044,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"e534f5521e2c","Pedigree.Unified.154",46044,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"b9b631d5914e","Pedigree.Unified.154",46044,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"e8a2c518e4ac","Pedigree.Unified.154",46044,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"058212aef363","Pedigree.Unified.154",46044,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"f1e377de0078","Pedigree.Unified.154",46044,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"ba455a7de1f0","Pedigree.Unified.148",46039,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"d4c256ff5ce2","Pedigree.Unified.146",140431,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"ef8f7aa15670","Pedigree.Unified.146",140431,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"15772189c7a3","Pedigree.Unified.145",140431,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"29614f1481a6","Pedigree.Unified.145",140431,"Triticum turgidum subsp. dicoccoides","Wild",NA,"","",NA,"",""
"5fdb810eacf4","Pedigree.Unified.141",145493,"Triticum aestivum subsp. aestivum","Advanced cultivar",NA,"","",NA,"",""
"3fdd1d3d49a7","Pedigree.Unified.141",145493,"Triticum aestivum subsp. aestivum","Advanced cultivar",NA,"","",NA,"",""
"74202b890cdb","Pedigree.Unified.141",145493,"Triticum aestivum subsp. aestivum","Advanced cultivar",NA,"","",NA,"",""
"87b956c4d581","Pedigree.Unified.107",NA,"","",NA,"","",NA,"",""
"448f9761ca43","Pedigree.Unified.107",NA,"","",NA,"","",NA,"",""
"e8ebad7dcc56","Pedigree.Unified.109",NA,"","",NA,"","",NA,"",""
